date,exchange,reserve_btc
2023-10-05,bitfinex,7545.88265085
2023-10-06,binance,-24647.72764125
2023-10-06,okx,31111.298006
2023-10-07,binance,-23037.66653551
2023-10-08,binance,-23771.76041648
2023-10-09,binance,-21658.54817884
2023-10-09,bitfinex,-1711.940311
2023-10-10,binance,-22124.74545366
2023-10-10,bitfinex,-144.148011
2023-10-11,binance,-16213.80309021
2023-10-11,bitfinex,557.350569
2023-10-12,binance,-11437.64871514
2023-10-12,bitfinex,1036.691539
2023-10-13,binance,-11346.59726191
2023-10-13,bitfinex,1246.057799
2023-10-13,okx,31462.298006
2023-10-14,binance,-12927.92437307
2023-10-14,bitfinex,1416.071939
2023-10-15,binance,-13064.953903
2023-10-15,bitfinex,1416.071945
2023-10-16,binance,-17076.67437537
2023-10-17,binance,-20539.40598442
2023-10-18,binance,-19916.5687779
2023-10-19,binance,-27603.78511344
2023-10-20,binance,-22542.509804
2023-10-21,binance,-20515.33936791
2023-10-22,binance,-20072.93270948
2023-10-22,okx,32164.298006
2023-10-23,binance,-23273.00666426
2023-10-24,binance,-13117.29788095
2023-10-24,bitfinex,-3894.642909
2023-10-24,okx,33016.298006
2023-10-25,binance,-12616.53017369
2023-10-25,okx,33868.298006
2023-10-26,binance,-13019.19352793
2023-10-26,bitfinex,-6164.591587
2023-10-26,okx,34720.298006
2023-10-27,binance,-16386.23993298
2023-10-27,bitfinex,-5809.628567
2023-10-27,okx,34069.298006
2023-10-28,binance,8220.03344241
2023-10-28,bitfinex,-5507.813567
2023-10-29,binance,-23217.87361922
2023-10-29,bitfinex,-5262.055457
2023-10-30,binance,-22741.75505915
2023-10-30,bitfinex,-5156.939977
2023-10-31,binance,-23132.26945605
2023-10-31,bitfinex,-5052.096547
2023-10-31,okx,34420.298006
2023-11-01,binance,-24073.61736132
2023-11-02,binance,-23557.70586886
2023-11-03,binance,1599.92606936
2023-11-03,bitfinex,10264.52171285
2023-11-03,okx,34070.298006
2023-11-04,binance,-21981.47542102
2023-11-04,bitfinex,-11410.508199
2023-11-05,binance,-21350.48049363
2023-11-05,bitfinex,-11310.396259
2023-11-06,binance,-20219.92016657
2023-11-07,binance,-26305.16269427
2023-11-07,bitfinex,-7412.758099
2023-11-08,binance,-26943.85982773
2023-11-08,bitfinex,-8912.759604
2023-11-09,binance,-23012.34586334
2023-11-09,bitfinex,-10912.760312
2023-11-10,binance,-3417.56555399
2023-11-10,bitfinex,-5263.115532
2023-11-11,binance,-1132.49754582
2023-11-11,bitfinex,-906.591822
2023-11-11,okx,33640.298006
2023-11-12,binance,-1289.03009012
2023-11-12,bitfinex,-1502.88667904
2023-11-13,binance,-2705.2685023
2023-11-13,bitfinex,-1790.33484104
2023-11-13,okx,32690.298006
2023-11-14,binance,-1677.78706013
2023-11-14,bitfinex,1900.887143
2023-11-14,okx,32740.298006
2023-11-15,binance,-4549.28423082
2023-11-15,bitfinex,2566.660403
2023-11-15,okx,32942.298006
2023-11-16,binance,-5652.46020967
2023-11-17,binance,-2152.01200967
2023-11-17,bitfinex,25168.6380637
2023-11-17,okx,32942.29801485
2023-11-18,binance,-1604.40452062
2023-11-19,binance,-2456.59704908
2023-11-20,binance,-4974.09866409
2023-11-20,bitfinex,-624.980528
2023-11-20,okx,33293.29801485
2023-11-21,binance,-7676.54399331
2023-11-21,bitfinex,22000.10173489
2023-11-21,okx,33144.29801485
2023-11-22,binance,-12721.90361336
2023-11-22,bitfinex,-2607.82664
2023-11-22,okx,31995.29801485
2023-11-23,binance,-13650.46276723
2023-11-23,bitfinex,-3068.443391
2023-11-23,okx,32997.29801485
2023-11-24,binance,-18130.29064299
2023-11-24,bitfinex,-5068.443747
2023-11-25,binance,-18859.50123989
2023-11-25,bitfinex,-4924.328047
2023-11-26,binance,-19916.37520976
2023-11-27,binance,-19257.7702037
2023-11-27,okx,33197.29801485
2023-11-28,binance,-24585.08278041
2023-11-28,bitfinex,-7184.332804
2023-11-28,okx,32847.29801485
2023-11-29,binance,-20891.03308843
2023-11-29,okx,32947.29801485
2023-11-30,binance,-20183.74250855
2023-11-30,bitfinex,-6725.992254
2023-11-30,okx,33133.29801485
2023-12-01,binance,-23047.23841573
2023-12-01,bitfinex,-5503.134754
2023-12-01,okx,33281.29801485
2023-12-02,binance,-23140.46379008
2023-12-02,bitfinex,-742.88667904
2023-12-02,okx,33393.29801485
2023-12-03,binance,-23299.08929213
2023-12-03,okx,33419.29801485
2023-12-04,binance,-20062.50402744
2023-12-04,bitfinex,-10746.5020017
2023-12-04,okx,33489.29801485
2023-12-05,binance,-26221.76937542
2023-12-05,bitfinex,-6601.885534
2023-12-05,okx,33557.29801485
2023-12-06,binance,-17222.71727041
2023-12-06,bitfinex,-4951.708024
2023-12-06,okx,33563.29801485
2023-12-07,binance,-14318.14906121
2023-12-07,bitfinex,-4161.6209717
2023-12-07,okx,34413.29801485
2023-12-08,binance,-15110.98405579
2023-12-08,bitfinex,1165.7583183
2023-12-09,binance,-12001.34315152
2023-12-09,bitfinex,906.6336923
2023-12-10,binance,-10182.08099948
2023-12-11,binance,-2937.51531197
2023-12-11,bitfinex,3159.2560773
2023-12-12,binance,23972.67549112
2023-12-12,bitfinex,4384.1317373
2023-12-12,okx,33713.29801485
2023-12-13,binance,-14263.38858837
2023-12-13,bitfinex,2082.649535
2023-12-14,binance,-15995.13202527
2023-12-14,bitfinex,2220.252355
2023-12-15,binance,-18155.46788421
2023-12-15,bitfinex,2963.313815
2023-12-16,binance,-19002.14842293
2023-12-16,bitfinex,25079.42996089
2023-12-17,binance,-14276.87622861
2023-12-17,bitfinex,-16559.156114
2023-12-18,binance,-15174.77812998
2023-12-19,binance,-18514.93739828
2023-12-20,binance,-15984.99687014
2023-12-20,bitfinex,-18559.160156
2023-12-21,binance,-17990.49838169
2023-12-21,bitfinex,-18565.088961
2023-12-22,binance,-22179.49297332
2023-12-22,bitfinex,-10963.291831
2023-12-23,binance,-24640.50116239
2023-12-23,bitfinex,-10115.503601
2023-12-24,binance,-26412.36927449
2023-12-24,bitfinex,-9940.945491
2023-12-25,binance,-15376.6099057
2023-12-25,okx,33363.29801485
2023-12-26,binance,-17485.72595827
2023-12-27,binance,-22379.81464611
2023-12-28,binance,-24723.05299456
2023-12-28,bitfinex,-9705.297521
2023-12-28,okx,32863.29801485
2023-12-29,binance,-21138.44123326
2023-12-29,bitfinex,-8668.727141
2023-12-30,binance,29089.4765141
2023-12-30,bitfinex,-8316.074041
2023-12-31,binance,37324.30849935
2023-12-31,bitfinex,-17619.189413
2024-01-01,binance,-18331.64709263
2024-01-02,binance,-17132.071899
2024-01-02,okx,32363.29801485
2024-01-03,binance,-12950.08741778
2024-01-03,bitfinex,-19119.190027
2024-01-04,binance,-11209.79852307
2024-01-04,bitfinex,25122.55429855
2024-01-04,okx,32013.29801485
2024-01-05,binance,-11301.79253099
2024-01-05,bitfinex,-11885.703397
2024-01-06,binance,44546.65009806
2024-01-06,bitfinex,36000.08768545
2024-01-07,binance,-16793.07720418
2024-01-08,binance,-15646.57748257
2024-01-08,bitfinex,-13885.705542
2024-01-09,binance,-17833.69251573
2024-01-09,bitfinex,19402.75766291
2024-01-09,okx,32364.29801485
2024-01-10,binance,46129.21446753
2024-01-10,bitfinex,20809.33116837
2024-01-10,okx,32715.29802031
2024-01-11,binance,-9952.45159787
2024-01-11,bitfinex,-15944.251621
2024-01-11,okx,32715.29802577
2024-01-12,binance,57640.42845149
2024-01-12,bitfinex,-13790.997131
2024-01-12,okx,32717.29802577
2024-01-13,binance,-13851.07751825
2024-01-13,bitfinex,-13556.331461
2024-01-13,okx,33719.29802577
2024-01-14,binance,-14924.48249541
2024-01-14,bitfinex,-12994.052291
2024-01-15,binance,-12121.09883186
2024-01-15,bitfinex,-12498.000591
2024-01-16,binance,-15140.32178397
2024-01-16,bitfinex,-11956.778251
2024-01-17,binance,-14301.55951139
2024-01-17,bitfinex,-11226.802181
2024-01-17,okx,32869.29802577
2024-01-18,binance,54546.79479934
2024-01-18,bitfinex,25681.01858683
2024-01-18,okx,32869.29803123
2024-01-19,binance,-11925.24663809
2024-01-19,bitfinex,-9051.160915
2024-01-20,binance,-12586.63479366
2024-01-20,bitfinex,-7692.941085
2024-01-20,okx,32519.29803123
2024-01-21,binance,-15734.23857397
2024-01-21,bitfinex,-7134.398565
2024-01-22,binance,54785.13323646
2024-01-22,bitfinex,29935.70695793
2024-01-23,binance,-13484.17177868
2024-01-23,bitfinex,-5280.198175
2024-01-23,okx,32019.29803123
2024-01-24,binance,-13069.71590863
2024-01-24,bitfinex,-2337.30691428
2024-01-25,binance,58277.93019434
2024-01-25,bitfinex,32440.15925339
2024-01-26,binance,55803.16216565
2024-01-26,bitfinex,-3238.358265
2024-01-26,okx,32019.29803669
2024-01-27,binance,-18762.92604697
2024-01-28,binance,-20673.31188858
2024-01-29,binance,-17466.55536595
2024-01-30,binance,-23451.95881959
2024-01-30,okx,32370.29803669
2024-01-31,binance,-17615.06160642
2024-01-31,okx,32871.29803669
2024-02-01,binance,-16011.12306858
2024-02-02,binance,-16866.69287744
2024-02-03,binance,-16777.5273634
2024-02-04,binance,-15235.25928913
2024-02-04,bitfinex,-3122.695205
2024-02-05,binance,-12457.93781591
2024-02-05,bitfinex,-2791.243115
2024-02-06,binance,-13051.40612198
2024-02-06,bitfinex,-609.559245
2024-02-07,binance,-17781.6830713
2024-02-07,bitfinex,-283.712405
2024-02-08,binance,-23575.31920469
2024-02-08,bitfinex,168.958785
2024-02-09,binance,45594.56393159
2024-02-09,bitfinex,388.927845
2024-02-10,binance,-23470.92118179
2024-02-10,okx,31871.29803669
2024-02-11,binance,-19402.7499332
2024-02-12,binance,49646.83058704
2024-02-12,bitfinex,1322.765945
2024-02-13,binance,-25794.31719818
2024-02-13,bitfinex,38630.52896879
2024-02-13,okx,32573.29803669
2024-02-14,binance,-20841.47191651
2024-02-14,bitfinex,5730.803925
2024-02-14,okx,32924.29803669
2024-02-15,binance,41460.93907684
2024-02-16,binance,-24220.17384807
2024-02-17,binance,-23877.6600485
2024-02-18,binance,-23043.50393145
2024-02-18,bitfinex,36000.08921925
2024-02-19,binance,-25421.38745868
2024-02-20,binance,39496.12364106
2024-02-21,binance,-19660.08281384
2024-02-21,bitfinex,3969.681661
2024-02-22,binance,41542.95020999
2024-02-22,bitfinex,4347.680461
2024-02-23,binance,-19158.52011883
2024-02-23,bitfinex,4660.020421
2024-02-24,binance,-19303.33076338
2024-02-24,bitfinex,4868.891631
2024-02-25,binance,-20782.88357011
2024-02-25,bitfinex,5902.545461
2024-02-26,binance,33588.25359673
2024-02-26,bitfinex,6176.274551
2024-02-27,binance,-16148.21932428
2024-02-27,bitfinex,-135.219308
2024-02-27,okx,33275.29803669
2024-02-28,binance,-15142.0269784
2024-02-28,bitfinex,1864.76059511
2024-02-28,okx,33776.29803669
2024-02-29,binance,-15039.85592101
2024-02-29,bitfinex,33211.63553925
2024-02-29,okx,34628.29803669
2024-03-01,binance,-19836.67279018
2024-03-01,bitfinex,34602.29245301
2024-03-01,okx,33628.29803669
2024-03-02,binance,-17426.0721254
2024-03-02,bitfinex,36000.08930728
2024-03-02,okx,35130.29803669
2024-03-03,binance,-17622.60390808
2024-03-03,okx,36482.29803669
2024-03-04,binance,-20963.55436206
2024-03-04,bitfinex,-17895.858691
2024-03-04,okx,37334.29803669
2024-03-05,binance,-13551.42642501
2024-03-05,okx,40839.29803669
2024-03-06,binance,43608.3061973
2024-03-06,bitfinex,2755.65584411
2024-03-06,okx,43543.29803669
2024-03-07,binance,-10930.92507524
2024-03-07,bitfinex,3005.65584411
2024-03-07,okx,45396.29803669
2024-03-08,binance,41547.66261731
